question,answer_llm,answer_orig,document
What’s the easiest way to make OpenAI API auth work in a notebook when direnv isn’t enough?,"('If `direnv` isn’t enough in a notebook, the easiest fix is to use `python-dotenv` and load your `.env` file inside the notebook before creating the client:\n\n```bash\npip install python-dotenv\n```\n\n```python\nfrom dotenv import load_dotenv\nload_dotenv()\n```\n\nThen make sure your `.env` contains the exact variable name:\n\n```bash\nOPENAI_API_KEY=your_key_here\n```\n\nIf you want, I can also show the full notebook snippet for creating the OpenAI client.', 0)","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I use python-dotenv to load my environment variables from .envrc in Jupyter?,"('`python-dotenv` loads from a `.env` file, not directly from `.envrc`.\n\nIf you’re using Jupyter, do this in a notebook cell before creating the client:\n\n```python\nfrom dotenv import load_dotenv\nload_dotenv()\n```\n\nThen read the variable normally:\n\n```python\nimport os\nos.getenv(""OPENAI_API_KEY"")\n```\n\nIf your keys are in `.envrc`, the course notes recommend using `dirdotenv` for shell auto-loading, or putting the variables in a `.env` file for `python-dotenv`.\n\nIf `OPENAI_API_KEY` is still not found, make sure:\n\n- `python-dotenv` is installed\n- the variable name is exactly `OPENAI_API_KEY`\n- the file is in your project root\n\n', 0)","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
"Can I store OPENAI_API_KEY in GitHub Codespaces instead of setting it locally, and how do I do that?","('Yes. For GitHub Codespaces, use the built-in **Codespaces secrets** instead of storing `OPENAI_API_KEY` in a file in the repo.\n\nThe course recommends:\n- using `.env` + `python-dotenv` for local setups\n- using **Codespaces secrets** for Codespaces\n\nYou can find the instructions here:\nhttps://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces\n\nAlso, make sure you do **not** commit API keys to GitHub.', 0)","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How can I figure out the GPT-4o token count for homework 6 if I’m using Groq and there’s no tokenizer for it?,"('Get the token count from the **model response object** if Groq exposes usage fields.\n\n- Check the returned response for something like `usage.input_tokens` or `usage.prompt_tokens`.\n- If Groq does **not** expose token usage, use Groq’s **native tokenizer** as an approximation.\n- Don’t use `tiktoken` or `cl100k_base` as a generic tokenizer for Groq, because tokenization differs by model.\n\nIf you need the closest homework answer choice, pick the nearest option.', 0)","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Do I need an OpenAI API key just to check how many tokens a prompt has in this assignment?,"('No. You don’t need an OpenAI API key just to count tokens.\n\nYou can use `tiktoken.encode()` locally to estimate the token count. Just note that OpenAI’s API may report a slightly different number because it adds internal chat-format tokens.', 0)","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
What library should I use to estimate the number of OpenAI tokens in question 6?,"(""I don't know."", 0)","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Is there a way to count GPT-4o tokens without using the OpenAI API itself?,"('Yes — you can estimate GPT-4o token counts locally with `tiktoken.encode()` without calling the OpenAI API.\n\nJust note that the count may differ slightly from what OpenAI reports, because the API adds extra internal chat-formatting tokens (for example, about 4 tokens per message plus 2 global tokens).', 0)","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
"If Groq doesn’t have a tokenizer, what’s the simplest way to get the token number the homework wants?","('Use the model’s **response object usage fields** to get the token count.\n\nFor Groq specifically, check whether the response includes something like:\n- `response.usage.prompt_tokens`\n- `response.usage.input_tokens`\n\nIf Groq doesn’t expose usage, then use Groq’s **native tokenizer** as an approximation. Avoid using `tiktoken` / `cl100k_base` as a generic fallback.', 0)","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Can I swap OpenAI for Groq in the course exercises and final project?,"('Yes. The course says the recommended model/provider is **not mandatory**, and you can use **Groq** instead of OpenAI for homework exercises. You may need to adapt the code because response formats, tool schemas, and tokenizers can differ.\n\nFor the **final project**, you can also use a non-OpenAI provider, but if you use a different stack or provider, make sure your project is easy to reproduce and document clearly.', 0)","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Is it okay to use a different LLM platform instead of OpenAI for the homework?,"('Yes. The recommended model is **not mandatory**. You can use **OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider**.\n\nJust note that you may need to adapt the code because different providers can have different:\n- response formats\n- tool schemas\n- tokenizers\n\nThe homework does **not** require a paid service.', 0)","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Do I need a paid API like OpenAI to finish the assignments, or can I run everything locally?","('No, you don’t need a paid OpenAI API to finish the assignments.\n\nYou can use free or low-cost alternatives, including local models or other providers like Gemini, Groq, OpenRouter, or Azure OpenAI. The homework is designed so you do not need a paid service.\n\nIf you run everything locally, that’s also fine, as long as you set up the required tools and keep your environment reproducible.', 0)","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"If I use another model provider, will I have to change the code myself?","('Yes — if you use another model provider, you may need to adapt the code yourself.\n\nThe course says the recommended model is **not mandatory**, but different providers can have different:\n\n- response formats\n- tool/function-call schemas\n- tokenizers\n- APIs\n\nSo the notebook may need changes, especially where it reads the response or handles tools. For non-OpenAI providers, using `chat.completions` is often easier than the newer Responses API.', 0)","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Where should I look if I want to adapt the project to a platform like Groq?,"(""I don't know."", 0)","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Why does my homework query return an empty list after filtering, even though the data is there?","('This is likely due to an error when indexing the data. You need to add the index settings **before** adding the data to the index; then your filters and query should work properly.', 0)","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
What am I missing if my Q3 filter gives no results in the LLM Zoomcamp homework?,"('First read the GitHub homework instructions, not only the course platform page.\n\nFor Module 1 in the 2026 cohort, start here:\n\n- [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)\n- [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)\n\nThe homework often follows the lesson workflow but may use a different dataset or ask you to apply the same idea in a slightly different way. If your Q3 filter gives no results, you may be missing that the homework uses different instructions/dataset details from the lesson.\n\nIf it is still unclear, ask in Slack and include the code or command output as text, not a screenshot.', 0)","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Could this be an indexing problem if the search comes back empty after I apply the filter?,"('Yes — it could be an indexing problem. According to the course notes, if a search returns an empty list after applying a filter, the likely issue is that the data was indexed incorrectly. In particular, you should add the index settings **before** indexing the data, then the filters and query should work properly.', 0)","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Do I need to set up the index differently before loading the data for this assignment?,"('Yes — before loading the data, you should set up the index settings first, and only then add the data to the index.', 0)","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
How should I fix the empty results issue in HW Q3 when using filters and queries?,"('This is likely an indexing issue. You should add the index settings **before** adding the data to the index, and then your filters and query should work correctly.', 0)","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Why do I get a different token count in tiktoken than what OpenAI shows in the API response?,"('Because `tiktoken` only counts the tokens in the text you pass it, while OpenAI’s API counts extra internal chat-formatting tokens too.\n\nIn particular:\n\n- each chat message adds about **4 structural tokens**\n- the API adds **2 more tokens** to mark the assistant’s reply\n- whitespace, newlines, or unusual Unicode can also change the count a bit\n\nSo it’s normal to see `tiktoken` give a smaller number than OpenAI’s `usage` field in the API response.', 0)","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"How come my prompt has 320 tokens locally, but OpenAI says 327 for the same request?","('Because OpenAI counts a few extra internal chat-format tokens that your local `tiktoken.encode()` count doesn’t include.\n\nIn the course context:\n\n- Each chat message adds **4 structural tokens**\n- OpenAI also adds **2 global tokens** for assistant generation\n- Extra whitespace / newlines / Unicode can add a bit more\n\nSo a prompt that looks like **320 tokens locally** can show up as **327 tokens** in OpenAI’s API.', 0)","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
Does chat.completions.create add extra tokens beyond the text I send?,"('Yes. `chat.completions.create()` can add extra internal tokens beyond the visible text you send.\n\nOpenAI’s chat formatting adds structural tokens for each message, plus a few global tokens for the assistant response start. So a prompt that looks like 320 tokens in your own count may show up as 327 tokens in OpenAI’s usage report.', 0)","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
What makes OpenAI count more tokens than just encoding the visible message content?,"('OpenAI counts extra internal chat-formatting tokens, not just the visible message text.\n\nSpecifically:\n- Each message in `chat.completions.create()` adds 4 structural tokens.\n- The API adds 2 more tokens to mark the start of assistant generation.\n- Extra whitespace, newlines, or uncommon Unicode can also affect the count.\n\nSo your visible text token count can be lower than what OpenAI reports.', 0)","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"Can whitespace, newlines, or weird Unicode characters change the token total in OpenAI chat requests?","('Yes. According to the course context, extra newlines, whitespace, or uncommon Unicode characters can slightly increase the token count in OpenAI chat requests. Also, OpenAI adds internal chat-formatting tokens, so the total can differ from a simple `tiktoken.encode()` count.', 0)","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
How can I set my API key once so I don’t have to export it in every new terminal?,"('Use **dirdotenv**. It loads your API key automatically when you `cd` into the project, so you don’t need to export it in every new terminal.\n\n```bash\nuv tool install dirdotenv\n\n# add this to your ~/.bashrc or ~/.zshrc:\neval ""$(dirdotenv hook bash)""   # or zsh\n\n# in your project:\necho \'OPENAI_API_KEY=sk-...\' > .env\necho \'.env\' >> .gitignore\n```\n\nAlso make sure to add **`.env`** and **`.envrc`** to `.gitignore` so you don’t commit secrets.\n\nIf you already use **direnv**, that works too.', 0)","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
Is there a way to make env vars load automatically when I enter a project folder?,"(""I don't know."", 0)","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
What’s the easiest setup for keeping my OpenAI key in a project without putting it in the code?,"('The easiest setup is to store your OpenAI key in a `.env` file and load it in your code with `python-dotenv`, instead of hardcoding it.\n\nFor example:\n\n```python\nimport os\nfrom dotenv import load_dotenv\n\nload_dotenv()\napi_key = os.getenv(""OPENAI_API_KEY"")\n```\n\nThen use `api_key` in your client setup.\n\nIf you want, I can also show the exact `.env` file format and a short example for the OpenAI client.', 0)","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
How should I handle API keys in GitHub Codespaces so they aren’t stored in the repo?,"('Use **GitHub Codespaces secrets** instead of storing API keys in files in the repo.\n\nThe course recommends using the built-in Codespaces secrets feature for GitHub Codespaces, so your keys stay out of the repository. Also make sure `.env` and `.envrc` are added to `.gitignore` if you use them locally.', 0)","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"If I’m running Python scripts, what can I use to load a .env file automatically?","('You can use `python-dotenv`.\n\nExample:\n\n```python\nfrom dotenv import load_dotenv\n\nload_dotenv()  # loads the .env file automatically\n```\n\nIf needed, install it first:\n\n```bash\npip install python-dotenv\n```', 0)","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"How do I install Ollama on macOS, Windows, or Linux for this course?","('Install Ollama from the official download page: https://ollama.com/download\n\n- **macOS**: download the `.pkg` file and install it.\n- **Windows**: download the `.msi` file and install it.\n- **Linux**: run:\n  ```bash\n  curl -fsSL https://ollama.com/install.sh | sh\n  ```\n\nAfter installation, you can test it with:\n```bash\nollama run llama3\n```\n\nAnd check the local server with:\n```bash\ncurl http://localhost:11434\n```', 0)","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What should I run after installing Ollama to download and start LLaMA 3 locally?,"('Run:\n\n```bash\nollama run llama3\n```\n\nThis will download LLaMA 3 and start it locally.', 0)","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
How can I quickly check if the Ollama server is actually running on my machine?,"('Run:\n\n```bash\ncurl http://localhost:11434\n```\n\nIf Ollama is running, you should get a response like:\n\n```json\n{""models"":[...]}\n```', 0)","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
"After installing Ollama, how do I get the Python package and use it from a script?","('After installing Ollama, install the Python client with:\n\n```bash\npip install ollama\n```\n\nThen use it in a script like this:\n\n```python\nimport ollama\n\nresponse = ollama.chat(\n    model=\'llama3\',\n    messages=[{""role"": ""user"", ""content"": your_prompt}]\n)\n\nprint(response[\'message\'][\'content\'])\n```', 0)","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What’s the simplest example of calling Ollama chat from Python with a prompt?,"('```python\nimport ollama\n\nprompt = ""Write a haiku about RAG.""\nresponse = ollama.chat(\n    model=""llama3"",\n    messages=[{""role"": ""user"", ""content"": prompt}]\n)\n\nprint(response[""message""][""content""])\n```', 0)","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
"Why am I getting a connection refused error when I prompt my Ollama RAG, and how do I fix it?","('This usually happens because the Ollama server isn’t running anymore.\n\nTo fix it, restart the Ollama server with:\n\n```bash\n!nohup ollama serve > nohup.out 2>&1 &\n```\n\nAlso, if you stop and restart the notebook cell, rerun the cell that contains `ollama serve`.\n\n', 0)","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
